"Index" "date" "AAPL.Open" "AAPL.High" "AAPL.Low" "AAPL.Close" "AAPL.Volume" "AAPL.Adjusted" "macd" "signal"
1352 2012-05-14 562.569992 567.510025 557.599998 558.219986 88156600 73.85165 -1.34289119435871 -0.690092546493041
1353 2012-05-15 561.45002 563.219994 551.749985 553.169991 119084000 73.183543 -1.44269626279196 -0.840613289752826
1354 2012-05-16 554.050011 556.890022 541.039993 546.080002 140224000 72.245548 -1.60863747624542 -0.994218127051345
1355 2012-05-17 545.309998 547.500008 530.12001 530.12001 179305000 70.134066 -1.84466985909119 -1.16430847345931
1356 2012-05-18 533.959991 543.409981 522.180016 530.37999 183073100 70.168461 -2.1718994462502 -1.36582666801749
1357 2012-05-21 534.499977 561.540009 534.04998 561.279976 157776500 74.256482 -2.40020084549262 -1.57270150351252
1358 2012-05-22 569.550018 573.879997 552.580017 556.970024 173717600 73.686282 -2.05387682618484 -1.66893656804698
1359 2012-05-23 557.500023 572.800026 553.230019 570.559975 146224400 75.484211 -1.93046550453666 -1.72124235534492
1360 2012-05-24 575.870003 576.499977 561.229988 565.320015 124057500 74.790973 -1.55069732269351 -1.68713334881464
1361 2012-05-25 564.590012 565.850014 558.469978 562.289986 82126800 74.390105 -1.39543139321221 -1.62879295769415
1362 2012-05-29 570.900009 574 565.309975 572.269974 95127200 75.710442 -1.16851861765754 -1.53673808968683
1363 2012-05-30 569.199997 579.98999 566.55999 579.169998 132357400 76.623304 -1.00144904953812 -1.42968028165709
1364 2012-05-31 580.740021 581.499985 571.460022 577.730019 122918600 76.432797 -0.69657085778565 -1.2830583968828
1365 2012-06-01 569.159996 572.650009 560.520012 560.989983 130246900 74.218116 -0.612819833507994 -1.14901068420784
1366 2012-06-04 561.500008 567.499985 548.499977 564.289978 139248900 74.6547 -0.647945501819014 -1.04879764773007
1367 2012-06-05 561.269989 566.470001 558.330002 562.830025 97053600 74.461551 -0.671490070106251 -0.973336132205309
1368 2012-06-06 567.770004 573.849983 565.499992 571.460022 100363900 75.603286 -0.59076098914369 -0.896821103592985
1369 2012-06-07 577.290009 577.320023 570.5 571.720001 94941700 75.637681 -0.386857088269665 -0.794828300528321
1370 2012-06-08 571.599998 580.580017 568.999992 580.319984 86879100 76.775446 -0.302762633911613 -0.69641516720498
1371 2012-06-11 587.719994 588.499985 570.62999 571.169975 147816200 75.564914 -0.00786786270885464 -0.558705706305755
1372 2012-06-12 574.459984 576.61998 566.70002 576.159996 108845100 76.225086 0.0375484767833001 -0.439454869687944
1373 2012-06-13 574.520012 578.479996 570.379997 572.160011 73395000 75.695894 0.0735099887210877 -0.336861898006138
1374 2012-06-14 571.23999 573.500015 567.259979 571.529984 86393300 75.612542 0.0550984867976112 -0.258469821045388
1375 2012-06-15 570.999985 574.619987 569.550018 574.12999 83813800 75.956519 0.0366963620516136 -0.199436584425988
1376 2012-06-18 570.959984 587.889984 570.37001 585.779976 110103000 77.497794 0.0213003058099348 -0.155289206378803
1377 2012-06-19 583.400002 589.999992 583.100021 587.410027 90351100 77.713448 0.182323725800559 -0.0877666199429306
1378 2012-06-20 588.209991 589.250015 580.799995 585.739975 89735800 77.492502 0.372695446139026 0.00432579327346083
1379 2012-06-21 585.439995 588.219978 577.440025 577.669991 81587800 76.424856 0.478641018900094 0.0991888383987876
1380 2012-06-22 579.040009 582.189987 575.420006 582.099998 71117900 77.010939 0.467499886334299 0.17285104798589
